station_id,year,month,temperature,country_code,country_name,latitude,longitude,name
ARM00087506,1987,11,17.38,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,12,18.18,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,1,19.96,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,2,19.55,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,3,16.94,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,4,11.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,5,5.77,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,6,5.25,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,7,1.5,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,8,5.51,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1988,9,7.48,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,5,7.47,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,6,7.08,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,7,3.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,8,8.24,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,9,7.17,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,10,12.98,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,11,17.78,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1990,12,18.92,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,1,18.9,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,2,18.59,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,3,17.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,4,12.55,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,5,9.31,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,6,5.13,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,7,3.29,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,8,5.95,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,9,9.69,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,10,10.61,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,11,16.0,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1991,12,17.45,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,1,18.9,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,2,18.11,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,3,18.04,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,4,11.64,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,5,6.91,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,6,4.15,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,7,1.84,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,8,6.41,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,9,9.33,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,10,14.15,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,11,14.82,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1992,12,18.51,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,1,21.23,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,2,20.05,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,3,17.65,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,4,11.13,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,5,6.65,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,6,4.34,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,7,2.27,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,8,7.27,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,9,7.89,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,10,12.28,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,11,15.79,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1993,12,19.89,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,1,20.98,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,2,18.43,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,3,17.19,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,4,11.53,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,5,9.22,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1994,6,7.28,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,6,3.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,7,4.94,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,8,7.05,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,9,8.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,10,12.75,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,11,17.36,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1996,12,18.11,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,1,20.52,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,2,17.89,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,3,17.59,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,4,14.93,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,5,9.08,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,6,5.09,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1997,7,6.66,AR,Argentina,-35.494,-69.574,MALARGUE
